tick,population,average_age,collisions,deaths_collision,deaths_age,births_clone,births_spontaneous
235,11,97,1,0,0,0,0
236,11,98,1,0,0,0,0
237,11,99,1,0,0,0,0
238,10,86.1,1,1,0,0,0
239,10,87.1,0,0,0,0,0
240,10,88.1,0,0,0,0,0
241,10,89.1,0,0,0,0,0
242,10,90.1,0,0,0,0,0
243,10,91.1,0,0,0,0,0
244,10,92.1,0,0,0,0,0
245,10,93.1,0,0,0,0,0
246,10,94.1,0,0,0,0,0
247,10,95.1,0,0,0,0,0
248,10,96.1,0,0,0,0,0
249,10,97.1,0,0,0,0,0
250,11,89.1818,0,0,0,1,0
251,12,82.6667,1,0,0,1,0
252,10,74.9,2,2,0,0,0
253,10,75.9,0,0,0,0,0
254,10,76.9,0,0,0,0,0
255,10,77.9,0,0,0,0,0
256,10,78.9,0,0,0,0,0
257,10,79.9,0,0,0,0,0
258,10,80.9,0,0,0,0,0
259,10,81.9,0,0,0,0,0
260,10,82.9,0,0,0,0,0
261,10,83.9,0,0,0,0,0
262,10,84.9,0,0,0,0,0
263,10,85.9,0,0,0,0,0
264,10,86.9,0,0,0,0,0
265,10,87.9,0,0,0,0,0
266,10,88.9,0,0,0,0,0
267,10,89.9,0,0,0,0,0
268,10,90.9,0,0,0,0,0
269,10,91.9,0,0,0,0,0
270,10,92.9,0,0,0,0,0
271,10,93.9,0,0,0,0,0
272,10,94.9,0,0,0,0,0
273,10,95.9,0,0,0,0,0
274,10,96.9,1,0,0,0,0
275,9,83.7778,1,1,0,0,0
276,9,84.7778,0,0,0,0,0
277,9,85.7778,0,0,0,0,0
278,9,86.7778,0,0,0,0,0
279,9,87.7778,0,0,0,0,0
280,9,88.7778,0,0,0,0,0
281,9,89.7778,0,0,0,0,0
282,9,90.7778,0,0,0,0,0
283,9,91.7778,0,0,0,0,0
284,10,83.5,0,0,0,1,0
285,10,84.5,1,0,0,0,0
286,10,85.5,1,0,0,0,0
287,10,86.5,1,0,0,0,0
288,10,87.5,1,0,0,0,0
289,9,91.1111,1,1,0,0,0
290,9,92.1111,1,0,0,0,0
291,9,93.1111,0,0,0,0,0
292,10,84.7,0,0,0,1,0
293,9,95.1111,1,1,0,0,0
